Voltage,Current,Power,,,,,,,,,,,,,,,,,,,
19.14606742,6.600723009,126.3778877,,,,,,,,,,,,,,,,,,,
19.15583781,6.258055691,119.8782998,,,,,,,,,,,,,,,,,,,
19.16170005,6.070464094,116.3204121,,,,,,,,,,,,,,,,,,,
19.17733268,5.980420127,114.6885064,,,,,,,,,,,,,,,,,,,
19.16756229,5.515192965,105.7128047,,,,,,,,,,,,,,,,,,,
19.16365413,6.273063019,120.21481,,,,,,,,,,,,,,,,,,,
19.16560821,6.085471422,116.631761,,,,,,,,,,,,,,,,,,,
19.10893991,5.617743039,107.3491142,,,,,,,,,,,,,,,,,,,
19.13238886,6.465657059,123.7034651,,,,,,,,,,,,,,,,,,,
19.16170005,6.293072789,120.5859732,,,,,,,,,,,,,,,,,,,
19.16170005,6.137997069,117.6144587,,,,,,,,,,,,,,,,,,,
19.18710308,5.975417684,114.650955,,,,,,,,,,,,,,,,,,,
19.16170005,5.820341964,111.5276469,,,,,,,,,,,,,,,,,,,
19.16756229,5.717791891,109.5961322,,,,,,,,,,,,,,,,,,,
19.20664387,5.475173425,105.1597061,,,,,,,,,,,,,,,,,,,
19.23400098,5.857860283,112.6700904,,,,,,,,,,,,,,,,,,,
19.22618466,5.940400586,114.2112386,,,,,,,,,,,,,,,,,,,
19.22423058,6.183019052,118.8637839,,,,,,,,,,,,,,,,,,,
19.24377137,6.273063019,120.7173905,,,,,,,,,,,,,,,,,,,
19.2222765,5.957909135,114.5245768,,,,,,,,,,,,,,,,,,,
19.22618466,5.817840743,111.8548804,,,,,,,,,,,,,,,,,,,
19.18124084,6.135495848,117.6864235,,,,,,,,,,,,,,,,,,,
19.17342452,6.253053249,119.8924445,,,,,,,,,,,,,,,,,,,
19.19687347,5.940400586,114.0371184,,,,,,,,,,,,,,,,,,,
19.23790914,5.772818759,111.0569627,,,,,,,,,,,,,,,,,,,
19.21836834,5.600234489,107.6273692,,,,,,,,,,,,,,,,,,,
19.21641426,5.445158769,104.6364266,,,,,,,,,,,,,,,,,,,
19.20859795,5.717791891,109.8307656,,,,,,,,,,,,,,,,,,,
19.20078163,5.472672203,105.0795839,,,,,,,,,,,,,,,,,,,
19.17928676,5.772818759,110.7185464,,,,,,,,,,,,,,,,,,,
19.25940401,5.807835857,111.8554572,,,,,,,,,,,,,,,,,,,
19.23790914,6.067962872,116.7349184,,,,,,,,,,,,,,,,,,,
19.22423058,6.210532487,119.3927086,,,,,,,,,,,,,,,,,,,
